524,391,30,26
627,310,7,11
611,233,3,4
612,232,3,3
583,225,7,12
583,225,7,12
534,219,7,9
491,6,8,7
534,219,7,9
491,6,8,7
309,141,5,5
306,176,30,16
306,176,30,16
352,257,34,31
340,261,22,11
340,261,22,11
244,200,34,29
261,213,6,9
305,228,19,12
305,228,19,12
405,244,19,12
396,244,36,24
396,244,36,24
384,255,23,13
368,255,39,22
334,298,34,29
334,297,32,30
334,296,32,30
340,292,34,30
342,293,34,29
342,293,33,29
361,311,4,3
344,293,32,26
344,292,32,30
342,291,34,30
352,300,14,8
343,291,33,30
361,302,3,3
358,284,34,30
360,284,32,29
360,284,34,29
373,292,10,9
360,285,32,30
362,285,32,31
361,289,30,31
368,304,3,3
360,289,32,31
248,171,31,27
286,208,29,15
248,171,31,28
286,208,29,15
